"CONSUMER_ID","SKU_ID","FIRST_PURCHASE_DATE","LAST_PURCHASE_DATE","PURCHASE_COUNT","IS_REPEAT"
"CONS000062","SKU001","2025-12-16","2025-12-16",1,false
"CONS000063","SKU001","2025-12-05","2025-12-05",1,false
"CONS000064","SKU002","2025-12-09","2025-12-27",2,true
"CONS000065","SKU002","2025-12-05","2025-12-05",1,false
"CONS000066","SKU001","2025-12-21","2026-01-08",4,true
"CONS000067","SKU001","2025-12-17","2026-01-04",4,true
"CONS000068","SKU001","2025-12-20","2025-12-20",1,false
"CONS000069","SKU002","2025-12-04","2025-12-04",1,false
"CONS000070","SKU001","2025-12-21","2026-01-02",4,true
"CONS000071","SKU001","2025-12-12","2026-01-02",2,true
"CONS000072","SKU001","2025-12-17","2025-12-26",4,true
"CONS000073","SKU001","2025-12-16","2025-12-23",3,true
"CONS000074","SKU001","2025-12-05","2025-12-05",1,false
"CONS000075","SKU002","2025-12-20","2025-12-20",1,false
"CONS000076","SKU001","2025-12-14","2026-01-02",4,true
"CONS000077","SKU001","2025-12-16","2025-12-16",1,false
"CONS000078","SKU002","2025-12-12","2025-12-12",1,false
"CONS000079","SKU001","2025-12-03","2025-12-03",1,false
"CONS000080","SKU001","2025-12-14","2025-12-14",1,false
"CONS000081","SKU001","2025-12-18","2026-01-03",2,true
"CONS000082","SKU002","2025-12-09","2025-12-09",1,false
"CONS000083","SKU002","2025-12-20","2025-12-20",1,false
"CONS000084","SKU001","2025-12-03","2025-12-03",1,false
"CONS000085","SKU001","2025-12-07","2025-12-07",1,false
"CONS000086","SKU002","2025-12-03","2025-12-03",1,false
"CONS000087","SKU002","2025-12-09","2025-12-24",2,true
"CONS000088","SKU001","2025-12-10","2025-12-10",1,false
"CONS000089","SKU001","2025-12-02","2025-12-20",4,true
"CONS000090","SKU002","2025-12-18","2025-12-18",1,false
"CONS000091","SKU002","2025-12-19","2025-12-19",1,false
"CONS000092","SKU002","2025-12-03","2025-12-03",1,false
"CONS000093","SKU002","2025-12-14","2025-12-14",1,false
"CONS000094","SKU002","2025-12-12","2025-12-12",1,false
"CONS000095","SKU001","2025-12-17","2025-12-17",1,false
"CONS000096","SKU001","2025-12-13","2025-12-22",4,true
"CONS000097","SKU001","2025-12-03","2025-12-17",2,true
"CONS000098","SKU001","2025-12-10","2025-12-10",1,false
"CONS000099","SKU002","2025-12-13","2025-12-13",1,false
"CONS000100","SKU001","2025-12-11","2025-12-11",1,false
"CONS000101","SKU002","2025-12-08","2025-12-08",1,false
"CONS000102","SKU001","2025-12-19","2025-12-19",1,false
"CONS000103","SKU001","2025-12-11","2025-12-18",3,true
"CONS000104","SKU002","2025-12-15","2025-12-15",1,false
"CONS000105","SKU001","2025-12-07","2025-12-07",1,false
"CONS000106","SKU001","2025-12-01","2025-12-01",1,false
"CONS000107","SKU001","2025-12-17","2026-01-02",4,true
"CONS000108","SKU002","2025-12-08","2025-12-08",1,false
"CONS000109","SKU001","2025-12-16","2026-01-06",4,true
"CONS000110","SKU002","2025-12-01","2025-12-01",1,false
"CONS000111","SKU002","2025-12-02","2025-12-02",1,false
"CONS000112","SKU002","2025-12-03","2025-12-03",1,false
"CONS000113","SKU002","2025-12-08","2025-12-08",1,false
"CONS000114","SKU002","2025-12-02","2025-12-02",1,false
"CONS000115","SKU001","2025-12-18","2025-12-27",3,true
"CONS000116","SKU002","2025-12-20","2025-12-20",1,false
"CONS000117","SKU001","2025-12-15","2025-12-15",1,false
"CONS000118","SKU002","2025-12-21","2025-12-21",1,false
"CONS000119","SKU002","2025-12-01","2025-12-01",1,false
"CONS000120","SKU002","2025-12-15","2026-01-04",2,true
"CONS000121","SKU001","2025-12-13","2025-12-23",4,true
"CONS000122","SKU002","2025-12-09","2025-12-09",1,false
"CONS000123","SKU001","2025-12-02","2025-12-14",2,true
"CONS000124","SKU002","2025-12-14","2025-12-14",1,false
"CONS000125","SKU001","2025-12-20","2025-12-20",1,false
"CONS000126","SKU002","2025-12-06","2025-12-06",1,false
"CONS000127","SKU002","2025-12-08","2025-12-08",1,false
"CONS000128","SKU001","2025-12-21","2026-01-02",2,true
"CONS000129","SKU001","2025-12-09","2025-12-09",1,false
"CONS000130","SKU002","2025-12-09","2025-12-09",1,false
"CONS000131","SKU001","2025-12-12","2025-12-12",1,false
"CONS000132","SKU002","2025-12-18","2025-12-18",1,false
"CONS000133","SKU001","2025-12-01","2025-12-17",3,true
"CONS000134","SKU002","2025-12-16","2025-12-16",1,false
"CONS000135","SKU002","2025-12-11","2025-12-11",1,false
"CONS000136","SKU001","2025-12-20","2025-12-30",2,true
"CONS000137","SKU001","2025-12-07","2025-12-07",1,false
"CONS000138","SKU001","2025-12-17","2025-12-17",1,false
"CONS000139","SKU002","2025-12-18","2025-12-18",1,false
"CONS000140","SKU002","2025-12-20","2025-12-20",1,false
"CONS000141","SKU002","2025-12-06","2025-12-06",1,false
"CONS000142","SKU001","2025-12-04","2025-12-04",1,false
"CONS000143","SKU002","2025-12-02","2025-12-02",1,false
"CONS000144","SKU002","2025-12-20","2025-12-28",2,true
"CONS000145","SKU002","2025-12-15","2025-12-15",1,false
"CONS000146","SKU001","2025-12-08","2025-12-08",1,false
"CONS000147","SKU002","2025-12-13","2025-12-13",1,false
"CONS000148","SKU002","2025-12-12","2025-12-12",1,false
"CONS000149","SKU001","2025-12-02","2025-12-22",3,true
"CONS000150","SKU002","2025-12-18","2025-12-18",1,false
"CONS000151","SKU002","2025-12-07","2025-12-07",1,false
"CONS000152","SKU002","2025-12-16","2025-12-16",1,false
"CONS000153","SKU001","2025-12-11","2025-12-11",1,false
"CONS000154","SKU002","2025-12-03","2025-12-03",1,false
"CONS000155","SKU001","2025-12-13","2025-12-13",1,false
"CONS000156","SKU001","2025-12-05","2025-12-18",4,true
"CONS000157","SKU002","2025-12-04","2025-12-04",1,false
"CONS000158","SKU002","2025-12-13","2025-12-13",1,false
"CONS000159","SKU001","2025-12-06","2025-12-06",1,false
"CONS000160","SKU001","2025-12-04","2025-12-20",4,true
"CONS000161","SKU002","2025-12-19","2025-12-30",2,true
"CONS000162","SKU002","2025-12-15","2025-12-15",1,false
"CONS000163","SKU001","2025-12-20","2026-01-01",2,true
"CONS000164","SKU001","2025-12-18","2026-01-07",2,true
"CONS000165","SKU002","2025-12-01","2025-12-01",1,false
"CONS000166","SKU001","2025-12-14","2025-12-14",1,false
"CONS000167","SKU001","2025-12-11","2025-12-19",4,true
"CONS000168","SKU002","2025-12-10","2025-12-23",2,true
"CONS000169","SKU001","2025-12-09","2025-12-25",3,true
"CONS000170","SKU001","2025-12-21","2025-12-31",2,true
"CONS000171","SKU002","2025-12-11","2025-12-11",1,false
"CONS000172","SKU002","2025-12-06","2025-12-26",2,true
"CONS000173","SKU001","2025-12-18","2025-12-18",1,false
"CONS000174","SKU001","2025-12-15","2025-12-24",3,true
"CONS000175","SKU001","2025-12-21","2025-12-28",4,true
"CONS000176","SKU001","2025-12-17","2025-12-17",1,false
"CONS000177","SKU002","2025-12-07","2025-12-07",1,false
"CONS000178","SKU001","2025-12-19","2025-12-19",1,false
"CONS000179","SKU001","2025-12-12","2025-12-12",1,false
"CONS000180","SKU001","2025-12-04","2025-12-15",2,true
"CONS000181","SKU001","2025-12-02","2025-12-21",3,true
"CONS000182","SKU002","2025-12-01","2025-12-01",1,false
"CONS000183","SKU002","2025-12-06","2025-12-06",1,false
"CONS000184","SKU002","2025-12-13","2025-12-13",1,false
"CONS000185","SKU001","2025-12-13","2025-12-13",1,false
"CONS000186","SKU002","2025-12-02","2025-12-02",1,false
"CONS000187","SKU002","2025-12-15","2025-12-15",1,false
"CONS000188","SKU001","2025-12-07","2025-12-07",1,false
"CONS000189","SKU001","2025-12-03","2025-12-13",3,true
"CONS000190","SKU002","2025-12-15","2025-12-15",1,false
"CONS000191","SKU002","2025-12-08","2025-12-08",1,false
"CONS000192","SKU002","2025-12-11","2025-12-11",1,false
"CONS000193","SKU002","2025-12-12","2025-12-23",2,true
"CONS000194","SKU001","2025-12-01","2025-12-19",4,true
"CONS000195","SKU002","2025-12-03","2025-12-03",1,false
"CONS000196","SKU001","2025-12-09","2025-12-09",1,false
"CONS000197","SKU002","2025-12-19","2025-12-19",1,false
"CONS000198","SKU001","2025-12-18","2025-12-18",1,false
"CONS000199","SKU002","2025-12-20","2025-12-20",1,false
"CONS000200","SKU001","2025-12-19","2026-01-05",3,true
"CONS000201","SKU001","2025-12-01","2025-12-01",1,false
"CONS000202","SKU001","2025-12-13","2025-12-27",4,true
"CONS000203","SKU001","2025-12-15","2025-12-24",2,true
"CONS000204","SKU002","2025-12-13","2025-12-13",1,false
"CONS000205","SKU001","2025-12-18","2026-01-06",2,true
"CONS000206","SKU002","2025-12-12","2025-12-12",1,false
"CONS000207","SKU002","2025-12-05","2025-12-05",1,false
"CONS000208","SKU002","2025-12-05","2025-12-05",1,false
"CONS000209","SKU001","2025-12-10","2025-12-19",2,true
"CONS000210","SKU001","2025-12-02","2025-12-16",2,true
"CONS000211","SKU002","2025-12-10","2025-12-10",1,false
"CONS000212","SKU002","2025-12-07","2025-12-07",1,false
"CONS000213","SKU002","2025-12-13","2025-12-13",1,false
"CONS000214","SKU002","2025-12-13","2025-12-13",1,false
"CONS000215","SKU001","2025-12-13","2025-12-13",1,false
"CONS000216","SKU002","2025-12-01","2025-12-01",1,false
"CONS000217","SKU002","2025-12-19","2025-12-19",1,false
"CONS000218","SKU001","2025-12-08","2025-12-15",3,true
"CONS000219","SKU001","2025-12-13","2025-12-13",1,false
"CONS000220","SKU002","2025-12-08","2025-12-08",1,false
"CONS000221","SKU002","2025-12-20","2025-12-20",1,false
"CONS000222","SKU001","2025-12-13","2025-12-13",1,false
"CONS000223","SKU001","2025-12-13","2025-12-13",1,false
"CONS000224","SKU001","2025-12-13","2025-12-30",3,true
"CONS000225","SKU001","2025-12-17","2025-12-27",3,true
"CONS000226","SKU002","2025-12-21","2026-01-11",2,true
"CONS000227","SKU002","2025-12-18","2025-12-18",1,false
"CONS000228","SKU001","2025-12-04","2025-12-20",2,true
"CONS000229","SKU001","2025-12-14","2025-12-14",1,false
"CONS000230","SKU002","2025-12-10","2025-12-10",1,false
"CONS000231","SKU002","2025-12-05","2025-12-05",1,false
"CONS000232","SKU001","2025-12-02","2025-12-17",4,true
"CONS000233","SKU001","2025-12-02","2025-12-02",1,false
"CONS000234","SKU001","2025-12-12","2025-12-12",1,false
"CONS000235","SKU001","2025-12-11","2025-12-11",1,false
"CONS000236","SKU001","2025-12-14","2025-12-14",1,false
"CONS000237","SKU001","2025-12-16","2026-01-05",2,true
"CONS000238","SKU002","2025-12-19","2025-12-19",1,false
"CONS000239","SKU002","2025-12-12","2025-12-12",1,false
"CONS000240","SKU001","2025-12-14","2025-12-14",1,false
"CONS000241","SKU001","2025-12-11","2025-12-19",4,true
"CONS000242","SKU002","2025-12-17","2025-12-28",2,true
"CONS000243","SKU001","2025-12-19","2025-12-19",1,false
"CONS000244","SKU002","2025-12-20","2025-12-20",1,false
"CONS000245","SKU001","2025-12-12","2025-12-24",2,true
"CONS000246","SKU002","2025-12-09","2025-12-09",1,false
"CONS000247","SKU001","2025-12-20","2026-01-06",4,true
"CONS000248","SKU001","2025-12-10","2025-12-23",3,true
"CONS000249","SKU002","2025-12-13","2026-01-02",2,true
"CONS000250","SKU002","2025-12-12","2025-12-25",2,true
"CONS000251","SKU002","2025-12-09","2025-12-09",1,false
"CONS000252","SKU002","2025-12-02","2025-12-02",1,false
"CONS000253","SKU001","2025-12-01","2025-12-01",1,false
"CONS000254","SKU002","2025-12-13","2025-12-13",1,false
"CONS000255","SKU001","2025-12-20","2025-12-20",1,false
"CONS000256","SKU002","2025-12-20","2025-12-20",1,false
"CONS000257","SKU002","2025-12-19","2025-12-19",1,false
"CONS000258","SKU002","2025-12-17","2025-12-17",1,false
"CONS000259","SKU001","2025-12-08","2025-12-08",1,false
"CONS000260","SKU001","2025-12-12","2025-12-27",3,true
"CONS000261","SKU002","2025-12-02","2025-12-02",1,false
"CONS000262","SKU001","2025-12-05","2025-12-05",1,false
"CONS000263","SKU001","2025-12-04","2025-12-25",3,true
"CONS000264","SKU001","2025-12-15","2025-12-25",2,true
"CONS000265","SKU002","2025-12-14","2025-12-14",1,false
"CONS000266","SKU002","2025-12-20","2025-12-20",1,false
"CONS000267","SKU002","2025-12-12","2025-12-21",2,true
"CONS000268","SKU002","2025-12-04","2025-12-04",1,false
"CONS000269","SKU001","2025-12-21","2025-12-21",1,false
"CONS000270","SKU002","2025-12-02","2025-12-02",1,false
"CONS000271","SKU002","2025-12-15","2025-12-15",1,false
"CONS000272","SKU002","2025-12-10","2025-12-10",1,false
"CONS000273","SKU001","2025-12-12","2025-12-12",1,false
"CONS000274","SKU001","2025-12-13","2025-12-13",1,false
"CONS000275","SKU001","2025-12-19","2025-12-31",2,true
"CONS000276","SKU002","2025-12-04","2025-12-04",1,false
"CONS000277","SKU002","2025-12-11","2025-12-11",1,false
"CONS000278","SKU001","2025-12-09","2025-12-09",1,false
"CONS000279","SKU001","2025-12-05","2025-12-05",1,false
"CONS000280","SKU001","2025-12-19","2025-12-19",1,false
"CONS000281","SKU002","2025-12-16","2025-12-16",1,false
"CONS000282","SKU001","2025-12-10","2025-12-10",1,false
"CONS000283","SKU001","2025-12-10","2025-12-10",1,false
"CONS000284","SKU001","2025-12-06","2025-12-27",2,true
"CONS000285","SKU002","2025-12-08","2025-12-08",1,false
"CONS000286","SKU002","2025-12-07","2025-12-14",2,true
"CONS000287","SKU002","2025-12-16","2025-12-16",1,false
"CONS000288","SKU001","2025-12-19","2025-12-19",1,false
"CONS000289","SKU001","2025-12-13","2025-12-13",1,false
"CONS000290","SKU001","2025-12-12","2025-12-12",1,false
"CONS000291","SKU001","2025-12-10","2025-12-10",1,false
"CONS000292","SKU002","2025-12-09","2025-12-09",1,false
"CONS000293","SKU001","2025-12-10","2025-12-10",1,false
"CONS000294","SKU002","2025-12-01","2025-12-01",1,false
"CONS000295","SKU002","2025-12-15","2025-12-15",1,false
"CONS000296","SKU002","2025-12-16","2025-12-16",1,false
"CONS000297","SKU002","2025-12-09","2025-12-09",1,false
"CONS000298","SKU001","2025-12-07","2025-12-07",1,false
"CONS000299","SKU002","2025-12-17","2025-12-17",1,false
"CONS000300","SKU001","2025-12-18","2026-01-01",3,true
"CONS000301","SKU001","2025-12-14","2025-12-14",1,false
"CONS000302","SKU002","2025-12-04","2025-12-04",1,false
"CONS000303","SKU002","2025-12-08","2025-12-08",1,false
"CONS000304","SKU001","2025-12-08","2025-12-08",1,false
"CONS000305","SKU001","2025-12-09","2025-12-09",1,false
"CONS000306","SKU001","2025-12-03","2025-12-03",1,false
"CONS000307","SKU001","2025-12-11","2025-12-27",3,true
"CONS000308","SKU001","2025-12-17","2026-01-01",3,true
"CONS000309","SKU002","2025-12-05","2025-12-20",2,true
"CONS000310","SKU002","2025-12-14","2025-12-14",1,false
"CONS000311","SKU002","2025-12-08","2025-12-08",1,false
"CONS000312","SKU002","2025-12-12","2025-12-12",1,false
"CONS000313","SKU001","2025-12-19","2026-01-09",2,true
"CONS000314","SKU002","2025-12-06","2025-12-06",1,false
"CONS000315","SKU002","2025-12-14","2025-12-14",1,false
"CONS000316","SKU002","2025-12-07","2025-12-07",1,false
"CONS000317","SKU002","2025-12-19","2025-12-19",1,false
"CONS000318","SKU002","2025-12-01","2025-12-01",1,false
"CONS000319","SKU002","2025-12-01","2025-12-22",2,true
"CONS000320","SKU002","2025-12-08","2025-12-08",1,false
"CONS000321","SKU002","2025-12-11","2025-12-11",1,false
"CONS000322","SKU001","2025-12-03","2025-12-14",2,true
"CONS000323","SKU001","2025-12-07","2025-12-07",1,false
"CONS000324","SKU001","2025-12-07","2025-12-07",1,false
"CONS000325","SKU001","2025-12-09","2025-12-09",1,false
"CONS000326","SKU001","2025-12-02","2025-12-02",1,false
"CONS000327","SKU002","2025-12-20","2025-12-20",1,false
"CONS000328","SKU001","2025-12-04","2025-12-25",2,true
"CONS000329","SKU002","2025-12-19","2025-12-19",1,false
"CONS000330","SKU002","2025-12-05","2025-12-05",1,false
"CONS000331","SKU002","2025-12-15","2025-12-15",1,false
"CONS000332","SKU001","2025-12-14","2025-12-14",1,false
"CONS000333","SKU002","2025-12-14","2026-01-01",2,true
"CONS000334","SKU002","2025-12-05","2025-12-05",1,false
"CONS000335","SKU001","2025-12-09","2025-12-09",1,false
"CONS000336","SKU001","2025-12-06","2025-12-06",1,false
"CONS000337","SKU002","2025-12-02","2025-12-02",1,false
"CONS000338","SKU001","2025-12-05","2025-12-05",1,false
"CONS000339","SKU002","2025-12-15","2025-12-15",1,false
"CONS000340","SKU001","2025-12-21","2025-12-21",1,false
"CONS000341","SKU002","2025-12-07","2025-12-07",1,false
"CONS000342","SKU002","2025-12-19","2025-12-19",1,false
"CONS000343","SKU002","2025-12-08","2025-12-16",2,true
"CONS000344","SKU002","2025-12-15","2025-12-15",1,false
"CONS000345","SKU002","2025-12-11","2025-12-11",1,false
"CONS000346","SKU002","2025-12-14","2025-12-14",1,false
"CONS000347","SKU002","2025-12-06","2025-12-06",1,false
"CONS000348","SKU001","2025-12-12","2025-12-12",1,false
"CONS000349","SKU001","2025-12-08","2025-12-08",1,false
"CONS000350","SKU002","2025-12-02","2025-12-02",1,false
"CONS000351","SKU002","2025-12-12","2025-12-12",1,false
"CONS000352","SKU001","2025-12-03","2025-12-12",2,true
"CONS000353","SKU002","2025-12-09","2025-12-09",1,false
"CONS000354","SKU002","2025-12-10","2025-12-10",1,false
"CONS000355","SKU001","2025-12-01","2025-12-21",4,true
"CONS000356","SKU002","2025-12-08","2025-12-08",1,false
"CONS000357","SKU001","2025-12-18","2026-01-01",2,true
"CONS000358","SKU002","2025-12-03","2025-12-03",1,false
"CONS000359","SKU001","2025-12-13","2026-01-03",3,true
"CONS000360","SKU002","2025-12-04","2025-12-04",1,false
"CONS000361","SKU001","2025-12-05","2025-12-17",3,true
"CONS000362","SKU002","2025-12-12","2025-12-12",1,false
"CONS000363","SKU001","2025-12-20","2026-01-07",3,true
"CONS000364","SKU001","2025-12-12","2025-12-29",3,true
"CONS000365","SKU002","2025-12-17","2025-12-25",2,true
"CONS000366","SKU001","2025-12-02","2025-12-02",1,false
"CONS000367","SKU001","2025-12-06","2025-12-06",1,false
"CONS000368","SKU001","2025-12-20","2025-12-20",1,false
"CONS000369","SKU001","2025-12-05","2025-12-05",1,false
"CONS000370","SKU002","2025-12-16","2025-12-25",2,true
"CONS000371","SKU001","2025-12-18","2025-12-18",1,false
"CONS000372","SKU001","2025-12-12","2025-12-21",4,true
"CONS000373","SKU001","2025-12-14","2025-12-14",1,false
"CONS000374","SKU001","2025-12-18","2025-12-25",2,true
"CONS000375","SKU001","2025-12-06","2025-12-06",1,false
"CONS000376","SKU002","2025-12-17","2025-12-17",1,false
"CONS000377","SKU001","2025-12-01","2025-12-01",1,false
"CONS000378","SKU001","2025-12-18","2025-12-18",1,false
"CONS000379","SKU002","2025-12-17","2025-12-17",1,false
"CONS000380","SKU002","2025-12-02","2025-12-02",1,false
"CONS000381","SKU002","2025-12-12","2025-12-12",1,false
"CONS000382","SKU001","2025-12-07","2025-12-07",1,false
"CONS000383","SKU002","2025-12-12","2025-12-12",1,false
"CONS000384","SKU002","2025-12-19","2025-12-19",1,false
"CONS000385","SKU002","2025-12-15","2025-12-15",1,false
"CONS000386","SKU001","2025-12-21","2026-01-10",4,true
"CONS000387","SKU001","2025-12-03","2025-12-23",3,true
"CONS000388","SKU001","2025-12-04","2025-12-04",1,false
"CONS000389","SKU002","2025-12-12","2025-12-12",1,false
"CONS000390","SKU001","2025-12-17","2026-01-07",2,true
"CONS000391","SKU002","2025-12-05","2025-12-05",1,false
"CONS000392","SKU002","2025-12-06","2025-12-06",1,false
"CONS000393","SKU001","2025-12-21","2026-01-04",4,true
"CONS000394","SKU002","2025-12-20","2025-12-20",1,false
"CONS000395","SKU002","2025-12-15","2025-12-15",1,false
"CONS000396","SKU001","2025-12-11","2025-12-25",3,true
"CONS000397","SKU002","2025-12-10","2025-12-10",1,false
"CONS000398","SKU002","2025-12-11","2025-12-11",1,false
"CONS000399","SKU001","2025-12-10","2025-12-10",1,false
"CONS000400","SKU001","2025-12-10","2025-12-23",3,true
"CONS000401","SKU002","2025-12-17","2025-12-17",1,false
"CONS000402","SKU002","2025-12-12","2025-12-12",1,false
"CONS000403","SKU002","2025-12-18","2026-01-08",2,true
"CONS000404","SKU002","2025-12-02","2025-12-02",1,false
"CONS000405","SKU002","2025-12-09","2025-12-09",1,false
"CONS000406","SKU002","2025-12-17","2025-12-17",1,false
"CONS000407","SKU001","2025-12-19","2025-12-19",1,false
"CONS000408","SKU001","2025-12-04","2025-12-25",2,true
"CONS000409","SKU002","2025-12-13","2025-12-13",1,false
"CONS000410","SKU002","2025-12-09","2025-12-09",1,false
"CONS000411","SKU002","2025-12-16","2025-12-16",1,false
"CONS000412","SKU002","2025-12-08","2025-12-08",1,false
"CONS000413","SKU001","2025-12-12","2025-12-30",2,true
"CONS000414","SKU002","2025-12-04","2025-12-04",1,false
"CONS000415","SKU002","2025-12-12","2025-12-12",1,false
"CONS000416","SKU002","2025-12-13","2025-12-13",1,false
"CONS000417","SKU001","2025-12-10","2025-12-27",4,true
"CONS000418","SKU001","2025-12-21","2025-12-21",1,false
"CONS000419","SKU002","2025-12-03","2025-12-19",2,true
"CONS000420","SKU001","2025-12-07","2025-12-07",1,false
"CONS000421","SKU002","2025-12-02","2025-12-02",1,false
"CONS000422","SKU001","2025-12-08","2025-12-08",1,false
"CONS000423","SKU002","2025-12-19","2025-12-19",1,false
"CONS000424","SKU001","2025-12-11","2025-12-31",3,true
"CONS000425","SKU001","2025-12-16","2025-12-23",2,true
"CONS000426","SKU001","2025-12-21","2025-12-31",2,true
"CONS000427","SKU002","2025-12-04","2025-12-04",1,false
"CONS000428","SKU002","2025-12-10","2025-12-10",1,false
"CONS000429","SKU001","2025-12-05","2025-12-05",1,false
"CONS000430","SKU002","2025-12-01","2025-12-10",2,true
"CONS000431","SKU002","2025-12-08","2025-12-08",1,false
"CONS000432","SKU002","2025-12-21","2025-12-21",1,false
"CONS000433","SKU002","2025-12-01","2025-12-01",1,false
"CONS000434","SKU001","2025-12-06","2025-12-15",4,true
"CONS000435","SKU002","2025-12-10","2025-12-10",1,false
"CONS000436","SKU001","2025-12-05","2025-12-05",1,false
"CONS000437","SKU002","2025-12-09","2025-12-09",1,false
"CONS000438","SKU001","2025-12-13","2025-12-13",1,false
"CONS000439","SKU002","2025-12-03","2025-12-03",1,false
"CONS000440","SKU002","2025-12-06","2025-12-06",1,false
"CONS000441","SKU002","2025-12-10","2025-12-10",1,false
"CONS000442","SKU001","2025-12-16","2025-12-16",1,false
"CONS000443","SKU002","2025-12-08","2025-12-08",1,false
"CONS000444","SKU002","2025-12-14","2025-12-14",1,false
"CONS000445","SKU001","2025-12-10","2025-12-29",3,true
"CONS000446","SKU002","2025-12-01","2025-12-16",2,true
"CONS000447","SKU002","2025-12-15","2025-12-15",1,false
"CONS000448","SKU001","2025-12-21","2025-12-21",1,false
"CONS000449","SKU002","2025-12-05","2025-12-05",1,false
"CONS000450","SKU002","2025-12-16","2025-12-16",1,false
"CONS000451","SKU001","2025-12-21","2026-01-07",4,true
"CONS000452","SKU001","2025-12-13","2025-12-13",1,false
"CONS000453","SKU002","2025-12-17","2025-12-17",1,false
"CONS000454","SKU002","2025-12-17","2026-01-05",2,true
"CONS000455","SKU002","2025-12-11","2025-12-11",1,false
"CONS000456","SKU002","2025-12-20","2025-12-20",1,false
"CONS000457","SKU002","2025-12-13","2025-12-13",1,false
"CONS000458","SKU001","2025-12-16","2025-12-16",1,false
"CONS000459","SKU002","2025-12-21","2025-12-21",1,false
"CONS000460","SKU002","2025-12-20","2025-12-20",1,false
